TOMB RAIDER: UNDERWORLD;70;7.3;Eidos Interactive;Crystal Dynamics;Nov 18, 2008;Master your surroundings: Reach new heights with the broadest range of acrobatic abilities and utilize objects within the environment to uncover new paths to explore. Explore epic and unknown worlds: Discover ancient mysteries of the underworld hidden within the coast of Thailand, frozen… Expand;12 ;Action Adventure,Modern,General,Modern
LET'S TAP;70;6.8;Sega;Prope;Jun 12, 2009;Let's Tap is an innovative gaming experience on the Wii with easy to pick-up-and-play controls that will appeal to gamers of all ages. Simply place the Wii Remote on a box or a flat surface and tap! All methods of tapping (light, medium, hard) will allow you to jump hurdles and create… Expand;47 ;Miscellaneous,Party,Party,Party / Minigame
LEGO ROCK BAND;70;6.9;Warner Bros. Interactive Entertainment;TT Fusion;Nov 3, 2009;The game, which allows families, tweens and teens to experience a wild journey to rock stardom where they can "Build a Band and Rock the Universe," combines the multiplayer music experience of Rock Band with the fun, customization and humor of the LEGO videogame franchise packed with… Expand;15 ;Action,Miscellaneous,Rhythm,Music,Music
THRILLVILLE: OFF THE RAILS;70;3.2;LucasArts;Frontier Developments;Oct 9, 2007;Off the Rails lives up to its name with 20 death-defying rides so outrageous, they inspire the same word from every park visitor who sees them: "WHOA!" Players build these incredible "WHOA Coasters" to leap from one track to another, launch through the air like cannonballs, blast through a… Expand;14 ;Strategy,General,General
THE KORE GANG;70;8.4;Atari ;Snap Dragon Games;Nov 8, 2011;Take control of a giant mech and save New York City in this quirky action adventure game.;10 ;Action Adventure,Sci-Fi,Sci-Fi,General
NASCAR KART RACING;70;8.1;Electronic Arts;Electronic Arts;Feb 10, 2009;Enjoy the thrill of racing as three-time consecutive Sprint Cup Series champion Jimmie Johnson or choose from 13 additional NASCAR Sprint Cup Series drivers. Players can also compete as one of 10 original animated characters. Each driver has personal attributes that will determine how the… Expand;12 ;Driving,Racing,Arcade,Kart,Other,Kart
JETT ROCKET;70;8.4;Shin'en;Shin'en;Jun 28, 2010;[WiiWare] Jump and run and fly. Let Jett Rocket explore the beautiful planet of Yoroppa and find out why it has been attacked by the evil Power Plant Posse. Visit tropical islands, poisonous swamps and freezingly cold glaciers. Ride the ocean on your Jet Boat, parachute from giant cliffs,… Expand;15 ;Action,Adventure,Platformer,Sci-Fi,Sci-Fi,Third-Person,3D
ROGUE TROOPER: QUARTZ ZONE MASSACRE;70;8.2;Graffiti Entertainment;Rebellion;Dec 4, 2009;(Currently available in the UK/EU only) On the war-torn, poisoned atmosphere of Nu Earth, Rogue Trooper is a genetic infantryman, one of an elite squad of biologically-engineered clone troops, created to overcome the planet's hostile atmosphere, unhindered in their fight against the enemy,… Expand;14 ;Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade
EXCITEBIKE: WORLD RALLY;70;7.5;Nintendo;Monster Games Inc.;Nov 9, 2009;[WiiWare] Prepare to face daredevil jumps, crazy obstacles and other racers in the newest installment in the venerable Excitebike franchise, available exclusively on the WiiWare service. Choose from multiple camera angles as you tilt your way to smooth landings using motion-sensitive… Expand;25 ;Driving,Racing,Arcade,Motorcycle,Other,Motocross,Motocross
SKATE IT;70;8.6;Electronic Arts;Electronic Arts;Nov 19, 2008;Skate It has Nintendo players riding with the skate pros, owning the best spots in San Vanelona and pulling off the sickest tricks using the popular FlickIt controls. Loaded with all-new gameplay features, Skate It breaks new ground by introducing innovative support for the Wii Balance Board… Expand;37 ;Sports,Alternative,Individual,Skateboarding,Skateboarding,Skate / Skateboard
